Status,Product,Handle,Type before,Type after,Tags added,Note
applied,Bperfect Annalivia Cosmetic Bag,bperfect-annalivia-cosmetic-bag,Brands > BPerfect,Beauty > Brushes & Accessories,,
applied,Bperfect Annalivia Dream Duo Bronze & Blush Face Palette,bperfect-annalivia-dream-duo-bronze-blush-face-palette,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Annalivia Lip Library Hydrating Lip Oil,bperfect-annalivia-lip-library-hydrating-lip-oil,Brands > BPerfect,Beauty > Lips,,
applied,Bperfect Annalivia Mini Empress Base Brush,bperfect-annalivia-mini-empress-base-brush,Brands > BPerfect,Beauty > Brushes & Accessories,,
applied,Bperfect Katie Daley Perfect Powder Candyfloss,bperfect-katie-daley-perfect-powder-candyfloss,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Katie Daley Perfect Powder Honeycomb,bperfect-katie-daley-perfect-powder-honeycomb,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Katie Daley Perfect Powder Vanilla,bperfect-katie-daley-perfect-powder-vanilla,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Honey Glazed Lip Oil,bperfect-mrs-glam-honey-glazed-lip-oil,Brands > BPerfect,Beauty > Lips,,
applied,Bperfect Mrs Glam Ice Ice Baby Lip Oil,bperfect-mrs-glam-ice-ice-baby-lip-oil,Brands > BPerfect,Beauty > Lips,,
applied,Bperfect Mrs Glam Raspberry Zest Lip Oil,bperfect-mrs-glam-raspberry-zest-lip-oil,Brands > BPerfect,Beauty > Lips,,
applied,Bperfect Mrs Glam Snatch Stick Cool Moon 02 Light Tan,bperfect-mrs-glam-snatch-stick-cool-moon-02-light-tan,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Snatch Stick Golden Hour 04 Warm Tan,bperfect-mrs-glam-snatch-stick-golden-hour-04-warm-tan,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Snatch Stick Golden Moon 01 Light Peach,bperfect-mrs-glam-snatch-stick-golden-moon-01-light-peach,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Snatch Stick Sun Drenched 05 Neutral Tan,bperfect-mrs-glam-snatch-stick-sun-drenched-05-neutral-tan,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Snatch Stick Sunset 03 Medium Tan,bperfect-mrs-glam-snatch-stick-sunset-03-medium-tan,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Snatch Stick Tantalizing 06 Deep Tan,bperfect-mrs-glam-snatch-stick-tantalizing-06-deep-tan,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Sunset Glow Disco Diva Cream Blush,bperfect-mrs-glam-sunset-glow-disco-diva-cream-blush,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Sunset Glow Gold Leaf Cream Bronze,bperfect-mrs-glam-sunset-glow-gold-leaf-cream-bronze,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Sunset Glow Mystic Moonlight Cream Highlight,bperfect-mrs-glam-sunset-glow-mystic-moonlight-cream-highlight,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Sunset Glow Peach Melba Cream Blush,bperfect-mrs-glam-sunset-glow-peach-melba-cream-blush,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Sunset Glow Rosemantic Cream Blush,bperfect-mrs-glam-sunset-glow-rosemantic-cream-blush,Brands > BPerfect,Beauty > Face,,
applied,Bperfect Mrs Glam Sunset Glow Showstopper Cream Highlight,bperfect-mrs-glam-sunset-glow-showstopper-cream-highlight,Brands > BPerfect,Beauty > Face,,
applied,Revive Active Collagen Complex 3 Month Supply 90 Sachets,revive-active-collagen-complex-3-month-supply-90-sachets,Brands > Revive Active,Supplements > Energy & Vitality,,"Collagen: could also be tagged Skin, Hair & Nails"
applied,Revive Active Collagen Complex 30Pk,revive-active-collagen-complex-30pk,Brands > Revive Active,Supplements > Energy & Vitality,,"Collagen: could also be tagged Skin, Hair & Nails"
applied,Revive Active Original 210 Sachets 7 Months Supply,revive-active-original-210-sachets-7-months-supply,Brands > Revive Active,Supplements > Energy & Vitality,,
applied,Revive Tropical 3 Month Supply - 90 Sachets,revive-tropical-3-month-supply-90-sachets,Brands > Revive Active,Supplements > Energy & Vitality,,
applied,SCULPTED LIQUID LIGHTS WARM,sculpted-liquid-lights-warm,Brands,Beauty > Face,,
applied,Sculpted By Aimee Shape & Set Brow Pencil & Fixing Gel (Deep Brown),sculpted-by-aimee-shape-set-brow-pencil-fixing-gel-deep-brown,Brands > Sculpted By Aimee,Beauty > Eyes,,
applied,Sculpted By Aimee Shape & Set Brow Pencil & Fixing Gel (Medium Brown),sculpted-by-aimee-shape-set-brow-pencil-fixing-gel-medium-brown,Brands > Sculpted By Aimee,Beauty > Eyes,,
applied,Sculpted By Aimee Shape & Set Brow Pencil & Fixing Gel (Soft Brown),sculpted-by-aimee-shape-set-brow-pencil-fixing-gel-soft-brown,Brands > Sculpted By Aimee,Beauty > Eyes,,
applied,Sculpted Easybrow Clear,sculpted-easybrow-clear,Brands > Sculpted By Aimee,Beauty > Eyes,,
applied,Sculpted Easybrow Medium Brown,sculpted-easybrow-medium-brown,Brands > Sculpted By Aimee,Beauty > Eyes,,
applied,Sculpted Lashlift Rich Brown,sculpted-lashlift-rich-brown,Brands > Sculpted By Aimee,Beauty > Eyes,,
applied,Scuplted Easybrow Deep Brown,scuplted-easybrow-deep-brown,Brands > Sculpted By Aimee,Beauty > Eyes,,
applied,Scuplted Lashlift Ultra Black,scuplted-lashlift-ultra-black,Brands > Sculpted By Aimee,Beauty > Eyes,,
applied,"Voduz Set, Spray, Slay Styling Bundle",voduz-set-spray-slay-styling-bundle,Brands > Voduz,Toiletries > Hair Care,,
applied,Armani Si Ladies 30Ml Edp,armani-si-ladies-30ml-edp,(none),Gifts > Women's Fragrance,,
applied,Childs Farm Nappy Cream 100Ml,childs-farm-nappy-cream-100ml,(none),Baby > Baby Wipes & Changing,,
