product_id,handle,title,status,channels_before,change
16024778965323,lippy-mojito-natural-lip-balm,Lippy Mojito Natural Lip Balm,ACTIVE,Point of Sale,remove from Point of Sale
16024778998091,dr-squatch-wood-barrel-bourbon-deodorant-75g,Dr Squatch Wood Barrel Bourbon Deodorant 75G,ACTIVE,Point of Sale,remove from Point of Sale
16024779063627,dr-squatch-rainforest-rapids-deodorant-75g,Dr Squatch Rainforest Rapids Deodorant 75G,ACTIVE,Point of Sale,remove from Point of Sale
16024779129163,harrys-plus-razor-and-5-blades-starter-set,Harry's Plus Razor And 5 Blades Starter Set,ACTIVE,Point of Sale,remove from Point of Sale
16024779227467,novomins-womens-bio-balance-gummies-60pk,Novomins Women's Bio-Balance Gummies 60Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024779260235,the-original-bug-band-co-insect-repellent-bracelet-12pk,The Original Bug Band Co Insect Repellent Bracelet 12Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024779325771,lippy-pina-colada-natural-lip-balm,Lippy Pina Colada Natural Lip Balm,ACTIVE,Point of Sale,remove from Point of Sale
16024779358539,lerelle-beauty-aimx-revive-me-eye-mask-with-hyaluronic-acid,Lerelle Beauty Aimx Revive Me Eye Mask With Hyaluronic Acid,ACTIVE,Point of Sale,remove from Point of Sale
16024779424075,lippy-tequila-sunrise-natural-lip-balm,Lippy Tequila Sunrise Natural Lip Balm,ACTIVE,Point of Sale,remove from Point of Sale
16024779620683,mx-health-uti-rapid-home-test-3pk,Mx Health Uti Rapid Home Test 3Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024779784523,dr-squatch-wood-barrel-bourbon-soap-bar-141g,Dr Squatch Wood Barrel Bourbon Soap Bar 141G,ACTIVE,Point of Sale,remove from Point of Sale
16024779915595,lippy-aperol-spritz-pearly-shine-natural-lip-balm,Lippy Aperol Spritz Pearly Shine Natural Lip Balm,ACTIVE,Point of Sale,remove from Point of Sale
16024780046667,dr-squatch-rainforest-rapids-soap-bar-141g,Dr Squatch Rainforest Rapids Soap Bar 141G,ACTIVE,Point of Sale,remove from Point of Sale
16024780144971,novomins-kids-night-time-gummies-30pk,Novomins Kids Night-Time Gummies 30Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024780341579,lerelle-beauty-aimx-renew-me-sheet-mask-with-peptides-and-collagen,Lerelle Beauty Aimx Renew Me Sheet Mask With Peptides And Collagen,ACTIVE,Point of Sale,remove from Point of Sale
16024780439883,mx-health-ovulation-rapid-home-test-kit-7pk,Mx Health Ovulation Rapid Home Test Kit 7Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024780603723,harrys-razor-and-5-blades-starter-pack,Harry's Razor And 5 Blades Starter Pack,ACTIVE,Point of Sale,remove from Point of Sale
16024780767563,harrys-razor-and-10-blades-indigo-set,Harry's Razor And 10 Blades Indigo Set,ACTIVE,Point of Sale,remove from Point of Sale
16024780931403,mx-health-pregnancy-early-detection-rapid-home-test-2pk,Mx Health Pregnancy Early Detection Rapid Home Test 2Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024781062475,dr-squatch-coastal-mist-deodorant-75g,Dr Squatch Coastal Mist Deodorant 75G,ACTIVE,Point of Sale,remove from Point of Sale
16024781226315,harrys-shave-cream-with-aloe-vera-100ml,Harry's Shave Cream With Aloe Vera 100Ml,ACTIVE,Point of Sale,remove from Point of Sale
16024781324619,lerelle-beauty-aimx-hydrate-me-moisturising-sheet-mask-with-peptides,Lerelle Beauty Aimx Hydrate Me Moisturising Sheet Mask With Peptides,ACTIVE,Point of Sale,remove from Point of Sale
16024781553995,lerelle-beauty-lashes2love-lash-growth-serum,Lerelle Beauty Lashes2love Lash Growth Serum,ACTIVE,Point of Sale,remove from Point of Sale
16024781685067,dr-squatch-coastal-mist-soap-bar-141g,Dr Squatch Coastal Mist Soap Bar 141G,ACTIVE,Point of Sale,remove from Point of Sale
16024781816139,bperfect-chroma-cover-luminous-foundation-w5,Bperfect Chroma Cover Luminous Foundation - W5,ACTIVE,Point of Sale,remove from Point of Sale
16024781947211,lippy-prosecco-pearly-shine-natural-lip-balm,Lippy Prosecco Pearly Shine Natural Lip Balm,ACTIVE,Point of Sale,remove from Point of Sale
16024782111051,mx-health-iron-ferritin-deficiency-rapid-home-test-1pk,Mx Health Iron Ferritin Deficiency Rapid Home Test 1Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024782242123,novomins-magnesium-gummies-60pk,Novomins Magnesium Gummies 60Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024782438731,deep-heat-spray-72-5ml,Deep Heat Spray 72.5Ml,ACTIVE,Point of Sale,remove from Point of Sale
16024782602571,lashes2love-bio-natural-lash-booster-mascara,Lashes2love Bio Natural Lash Booster Mascara,ACTIVE,Point of Sale,remove from Point of Sale
16024782733643,mx-health-multi-drug-7-in-1-panel-rapid-home-test-1pk,Mx Health Multi-Drug 7 In 1 Panel Rapid Home Test 1Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024782864715,lerelle-beauty-lashes2love-biopeptides-lash-growth-serum,Lerelle Beauty Lashes2love Biopeptides Lash Growth Serum,ACTIVE,Point of Sale,remove from Point of Sale
16024782995787,mx-health-vitamin-d-deficiency-rapid-home-test-1pk,Mx Health Vitamin D Deficiency Rapid Home Test 1Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024783159627,tipple-hangover-defence-2pk,Tipple Hangover Defence 2Pk,ACTIVE,Point of Sale,remove from Point of Sale
16024783290699,harrys-foaming-shave-gel-200ml,Harry's Foaming Shave Gel 200Ml,ACTIVE,Point of Sale,remove from Point of Sale
16024783487307,lerelle-beauty-brows2love-brow-growth-serum,Lerelle Beauty Brows2love Brow Growth Serum,ACTIVE,Point of Sale,remove from Point of Sale
16024783618379,lerelle-beauty-aimx-brighten-me-sheet-mask-with-vitamin-c,Lerelle Beauty Aimx Brighten Me Sheet Mask With Vitamin C,ACTIVE,Point of Sale,remove from Point of Sale
16024783749451,uriage-hyseac-3-regul-global-tinted-skin-care-spf50-40ml,Uriage Hyseac 3 Regul Global Tinted Skin Care Spf50+ 40Ml,ACTIVE,Point of Sale,remove from Point of Sale
16024783913291,revive-active-tropical-flavour-30-sachets,Revive Active Tropical Flavour 30 Sachets,ACTIVE,Point of Sale,remove from Point of Sale
16024784044363,e45-cream-125g,E45 Cream 125G,ACTIVE,Point of Sale,remove from Point of Sale
16024784109899,solgar-7-joint-support-30-caps,Solgar 7 Joint Support 30 Caps,ACTIVE,Point of Sale,remove from Point of Sale
16024784208203,solar-buddies-sunscreen-applicator-green,Solar Buddies Sunscreen Applicator Green,ACTIVE,Point of Sale,remove from Point of Sale
16024784240971,electric-picnic-bundle,Electric Picnic Bundle,ACTIVE,Point of Sale,remove from Point of Sale
16024784306507,ov-emulsifying-oint-500g,Ov Emulsifying Oint 500G,ACTIVE,Point of Sale,remove from Point of Sale
16024784372043,harrys-post-shave-balm-with-aloe-vera-100ml,Harry's Post Shave Balm With Aloe Vera 100Ml,ACTIVE,Point of Sale,remove from Point of Sale
16024784470347,dove-lotion-200ml-summer-revive-fair-medium,Dove Lotion 200Ml Summer Revive Fair/Medium,ACTIVE,Point of Sale,remove from Point of Sale
16024784535883,solgar-magnesium-l-threonate-60-capsules,Solgar Magnesium L-Threonate 60 Capsules,ACTIVE,Point of Sale,remove from Point of Sale
16024784601419,centrum-men-50,Centrum Men 50+,ACTIVE,Point of Sale,remove from Point of Sale
16024784765259,sona-multiplus-junior-chewable-tabs-30-pk,Sona Multiplus Junior Chewable Tabs (30 Pk),ACTIVE,Point of Sale,remove from Point of Sale
16024784830795,sensi-kin-gel-15ml-hypersensitivity,Sensi-Kin Gel 15Ml Hypersensitivity,ACTIVE,Point of Sale,remove from Point of Sale
16024784929099,symprove-4-week-supply-strawberry-raspberry,Symprove 4 Week Supply Strawberry & Raspberry,ACTIVE,Point of Sale,remove from Point of Sale
