product_id,variant_id,handle,sku,barcode_before,barcode_after,change
15671254024523,57050810810699,dioralyte-diorahydrate-with-electrolytes-blackcurrant-20-effervescent-tablets,5000283662303,,5000283662303,copy barcode from SKU
15671254090059,57050810876235,bperfect-mrs-glam-snatch-stick-cool-moon-02-light-tan,5060938588952,,5060938588952,copy barcode from SKU
15671254122827,57050810909003,aveeno-body-wash,3574661490212,,3574661490212,copy barcode from SKU
15671254253899,57050811269451,boss-alive-ladies-30ml-2pc-gift-set,3616304197918,,3616304197918,copy barcode from SKU
15671254286667,57050811302219,l-oreal-paris-elvive-dream-lengths-conditioner-for-long-damaged-hair-300ml,3600523586912,,3600523586912,copy barcode from SKU
15671254417739,57050811433291,jenny-glow-billionaire-inspired-by-paco-rabanne-lady-million-15ml,6294015179484,,6294015179484,copy barcode from SKU
15671254450507,57050811466059,vera-wang-princess-100ml-edt-spr,688575179415,,688575179415,copy barcode from SKU
15671254516043,57050811531595,scuplted-lashlift-ultra-black,5391545124791,,5391545124791,copy barcode from SKU
15671254581579,57050811760971,uriage-eau-thermal-water-mist-150ml,3661434000515,,3661434000515,copy barcode from SKU
15671254679883,57050811859275,quest-super-once-a-day-multi-tabs-60,50764204,,50764204,copy barcode from SKU
15671254810955,57050812088651,kin-gingival-mouthwash-250ml,8436026210826,,8436026210826,copy barcode from SKU
15671254876491,57050812154187,got2b-glued-spiking-wax,5012583203797,,5012583203797,copy barcode from SKU
15671254909259,57050812186955,sculpted-cream-cushion-foundation-2w,5391548381504,,5391548381504,copy barcode from SKU
15671255073099,57050812318027,optrex-actimist-10ml-eye-spray-2n1-dry-irritated,5000158101241,,5000158101241,copy barcode from SKU
15671255204171,57050812449099,uriage-eau-micellaire-cleansing-water-250ml,3661434009389,,3661434009389,copy barcode from SKU
15671255236939,57050812481867,sensodyne-pronamel-tp-whitening-75ml,5000347034091,,5000347034091,copy barcode from SKU
15671255269707,57050812514635,batiste-dry-shampoo-tropical-200ml,5010724527511,,5010724527511,copy barcode from SKU
15671255400779,57050812973387,medicare-7-day-pillbox,5099390404777,,5099390404777,copy barcode from SKU
15671255433547,57050813006155,medicare-foam-toe-protector-large,5099390407846,,5099390407846,copy barcode from SKU
15671255630155,57050813202763,anbesol-liquid-10ml,96183465,,96183465,copy barcode from SKU
15671255662923,57050813235531,bperfect-mrs-glam-raspberry-zest-lip-oil,5061045652642,,5061045652642,copy barcode from SKU
15671255761227,57050813333835,spatone-apple-iron-supplement-25ml-28pk,5000488107623,,5000488107623,copy barcode from SKU
15671255793995,57050813366603,mam-easy-start-anti-colic-2-months-blue,9001616908255,,9001616908255,copy barcode from SKU
15671255826763,57050813399371,nicorette-freshmint-2mg-30pk,3574661145488,,3574661145488,copy barcode from SKU
15671255892299,57050813464907,vitabiotics-perfectil-original-30pk,5021265220038,,5021265220038,copy barcode from SKU
15671255925067,57050813497675,the-handmade-soap-company-bitter-orange-pink-pepper-pillow-mist-100ml,5391520236426,,5391520236426,copy barcode from SKU
15671255957835,57050813530443,medicare-instant-ice-spray-200ml,5099390418071,,5099390418071,copy barcode from SKU
15671256023371,57050813595979,first-response-preg-test-single,5010724506370,,5010724506370,copy barcode from SKU
15671256088907,57050813792587,optrex-soothing-eye-drops-for-itchy-eyes-10ml,50160181,,50160181,copy barcode from SKU
15671256121675,57050813825355,kyolic-garlic-1000mg-tabs-quest-30pk,5022339261018,,5022339261018,copy barcode from SKU
15671256219979,57050814218571,jenny-glow-3-piece-mens-set-midnight-blue,6295199808634,,6295199808634,copy barcode from SKU
15671256285515,57050814284107,the-handmade-soap-company-lemongrass-cedarwood-shower-gel-250ml,5391520236105,,5391520236105,copy barcode from SKU
15671256383819,57050814382411,the-belle-bobbin-skinny-style-3pk,5391532760353,,5391532760353,copy barcode from SKU
15671256482123,57050814480715,loreal-magic-root-touch-light-blonde-75ml,3600523388233,,3600523388233,copy barcode from SKU
15671256645963,57050814644555,centrum-advance-30pk,5000309008146,,5000309008146,copy barcode from SKU
15671256678731,57050814808395,the-great-defender-9g,5034033000527,,5034033000527,copy barcode from SKU
15671256908107,57050815398219,medicare-maternity-pads-10pk,5605622248653,,5605622248653,copy barcode from SKU
15671256940875,57050815430987,the-great-defender-14pk,5034033000534,,5034033000534,copy barcode from SKU
15671257071947,57050815562059,optibac-probiotics-one-week-flat-sachets-7s,5060086610086,,5060086610086,copy barcode from SKU
15671257104715,57050815594827,uriage-eau-thermale-water-jelly,3661434007835,,3661434007835,copy barcode from SKU
15671257301323,57050815791435,savlon-antiseptic-cream-60g,5099562923952,,5099562923952,copy barcode from SKU
15671257399627,57050815889739,bach-rr-drops-10ml,741273021001,,741273021001,copy barcode from SKU
15671257465163,57050815955275,ella-jo-3-in-1-hyaluronic-skin-mist-100ml,5392000150324,,5392000150324,copy barcode from SKU
15671257727307,57050816348491,voduz-cleanse-it-illuminating-shampoo,5060938583223,,5060938583223,copy barcode from SKU
15671257825611,57050816446795,dettol-antiseptic-liquid-750ml,50158225,,50158225,copy barcode from SKU
15671257858379,57050816479563,swisss-o-par-brow-dye-brown,7612567135618,,7612567135618,copy barcode from SKU
15671257956683,57050816577867,tos-twice-weekly-150ml-shampoo-brightening,5012008467506,,5012008467506,copy barcode from SKU
15671258120523,57050816840011,zarbees-immune-support-120ml,3574661730578,,3574661730578,copy barcode from SKU
15671258153291,57050816872779,skingredients-skin-protein-anti-ageing-retinoid-serum-45ml-primary,634240001659,,634240001659,copy barcode from SKU
15671258218827,57050816938315,juvar-com-plex-bond-leave-in-conditioner-120ml,0698596599192,,0698596599192,copy barcode from SKU
15671258317131,57050817167691,tampax-pearl-regular-18pk,8001090733795,,8001090733795,copy barcode from SKU
15671258448203,57050818085195,bioxtra-mouthrinse-250ml-dry-mouth,5425005120020,,5425005120020,copy barcode from SKU
15671258513739,57050818150731,citric-acid-100g,5391510470021,,5391510470021,copy barcode from SKU
15671258644811,57050818281803,bayliss-harding-wild-lavender-geranium-luxury-hand-wash-500ml,017854120020,,017854120020,copy barcode from SKU
15671258743115,57050818412875,nivea-black-white-invisible-deo-twin-pack,5011076802042,,5011076802042,copy barcode from SKU
15671258775883,57050818445643,bepanthen-nappy-ointment-100g,5010605292330,,5010605292330,copy barcode from SKU
15671258874187,57050818543947,pestle-mortar-essentials-hand-wash-300ml,855238006771,,855238006771,copy barcode from SKU
15671258906955,57050818576715,bperfect-the-cheek-liquid-blush-pretty-pink,5061007281347,,5061007281347,copy barcode from SKU
