Group,Pattern,Flag,Product,SKU now,Barcode field now,Suggested barcode,Barcode on the box (fill in),What to check,Shopify admin link
1,Colour suffix,COLLISION: 3 colours share this one barcode,Bright Xmas Led Ball Large Black,5036740646081(b),,5036740646081,,Barcode is valid once the (letter) is removed. Check whether each colour has its own barcode on the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671296590155
1,Colour suffix,COLLISION: 3 colours share this one barcode,Bright Xmas Led Ball Large Gold,5036740646081(g),,5036740646081,,Barcode is valid once the (letter) is removed. Check whether each colour has its own barcode on the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671374676299
1,Colour suffix,COLLISION: 3 colours share this one barcode,Bright Xmas Led Ball Large Red,5036740646081(r),,5036740646081,,Barcode is valid once the (letter) is removed. Check whether each colour has its own barcode on the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671308190027
1,Colour suffix,COLLISION: 3 colours share this one barcode,Xmas Glow Lamp Forest Large Black,5036740610006(b),,5036740610006,,Barcode is valid once the (letter) is removed. Check whether each colour has its own barcode on the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671283941707
1,Colour suffix,COLLISION: 3 colours share this one barcode,Xmas Glow Lamp Forest Large Gold,5036740610006(G),,5036740610006,,Barcode is valid once the (letter) is removed. Check whether each colour has its own barcode on the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671393386827
1,Colour suffix,COLLISION: 3 colours share this one barcode,Xmas Glow Lamp Forest Large Red,5036740610006(R),,5036740610006,,Barcode is valid once the (letter) is removed. Check whether each colour has its own barcode on the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671309205835
2,Stray text after barcode,,Midnight Gaze,5391545561978 x,,5391545561978,,Barcode is valid once the trailing text is removed. Check it matches the box.,https://admin.shopify.com/store/mccormackpharmacy/products/15671333421387
3,Leading zero lost,,Lil Critters Immune C (60 Pk),27917017594,,027917017594,,Looks like Excel dropped the leading 0. Check the box shows the suggested number.,https://admin.shopify.com/store/mccormackpharmacy/products/15671394500939
3,Leading zero lost,,Marc Jacobs Daisy 100Ml Edt,31655513034,,031655513034,,Looks like Excel dropped the leading 0. Check the box shows the suggested number.,https://admin.shopify.com/store/mccormackpharmacy/products/15671398695243
3,Leading zero lost,,Solgar 7 Joint Support 30 Caps,33984504974,33984504974,033984504974,,Looks like Excel dropped the leading 0. Check the box shows the suggested number.,https://admin.shopify.com/store/mccormackpharmacy/products/16024784109899
3,Leading zero lost,,Solgar Magnesium L-Threonate 60 Capsules,33984015777,33984015777,033984015777,,Looks like Excel dropped the leading 0. Check the box shows the suggested number.,https://admin.shopify.com/store/mccormackpharmacy/products/16024784535883
4,Extra or padded digits,,2 Piece Ladies Set Adoor,6294015186407,,629401518640,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671338926411
4,Extra or padded digits,,Caldesene Medicated Powder 100G,50995627273520,,5099562727352,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671284498763
4,Extra or padded digits,,Ck Eternity Mens 50Ml Edt Spr,0883001053040,,088300105304,,"Too many digits; trimming gives a number that passes the check, but 1 in 10 wrong numbers also pass. Check the box.",https://admin.shopify.com/store/mccormackpharmacy/products/15671321952587
