Suggested tags,Product,On the website,Licence,Licence name,Active ingredients,What the licence says about quantity,Suggested most per order (this product),Our notes,Pharmacist: agree? (Yes/No),Pharmacist: notes
limit-pseudoephedrine,Actifed Syrup 100Ml,Yes,PA23490/029/001,ACTIFED 30 mg/1.25 mg per 5 ml Syrup,"Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride",Sale through pharmacies only in packs containing not more than 100ml per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription.,1,,,
limit-pseudoephedrine,Actifed Tabs 12Pk,Yes,PA23490/029/002,Actifed 60mg/2.5mg Tablets,"Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride",Sale through pharmacies only in packs containing not more than 12 units per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription.,1,,,
limit-pseudoephedrine,Advil Cold & Flu 20Pk,Yes,PA0678/147/001,Advil Cold & Flu Coated Tablets Ibuprofen 200mg Pseudoephedrine Hydroc,"Ibuprofen, Pseudoephedrine Hydrochloride",Sale through pharmacies only in packs containing not more than 24 units per pack. Packs containing more than 720 mg pseudoephedrine are subject to medical prescription. Not more than one pack of pseudoephedrine containing medicinal products should be su,1,,,
limit-pseudoephedrine,Benylin 100Ml Dry Dual Action,Yes,PA23490/002/001,"Benylin Dual Action Dry Syrup, Pseudoephedrine 30mg, Dextromethorphan ","Dextromethorphan Hydrobromide, Pseudoephedrine Hydrochloride, Triprolidine Hydrochloride",Sale through pharmacies only in packs containing not more than 100ml per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription.,1,,,
"limit-pseudoephedrine, limit-paracetamol-p",Benylin 4 Flu Tabs 24Pk,Yes,PA23490/013/001,Benylin Four Flu Film-Coated Tablets. Paracetamol 500mg Diphenhydramin,"Paracetamol, Pseudoephedrine Hydrochloride, Diphenhydramine Hydrochloride","Sale through pharmacies only in packs containing not more than 24 units per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription. Warnings Do not exceed stated dose. May cause drowsiness. If affected, do not drive or operate machinery. Avoid alcoholic drink. Do not take this product for persistent or chronic cough such as occurs with smoking, asthma or emphyse",1,"Not in the pseudoephedrine list in the questions document; its licence contains pseudoephedrine. Contains paracetamol too (pharmacy pack), so it carries both tags; the pseudoephedrine limit of 1 is the tighter and applies.",,
"limit-pseudoephedrine, limit-paracetamol-p",Benylin Day & Night Tabs 16Pk,Yes,PA23490/006/001,"BENYLIN Day & Night Tablets, 500mg/60mg tablets and 500/25mg film-coat","Paracetamol, Pseudoephedrine Hydrochloride, Paracetamol, Diphenhydramine Hydrochloride",Sale through pharmacies only in packs containing not more than 16 units per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription.,1,"Contains paracetamol too (pharmacy pack), so it carries both tags; the pseudoephedrine limit of 1 is the tighter and applies.",,
"limit-pseudoephedrine, limit-paracetamol-p",Lemsip Max Sinus & Flu Hot Lemon 10Pk,Yes,PA0979/020/001,Lemsip Max Sinus & Flu Hot Lemon Powder for Oral Solution,"Paracetamol, Pseudoephedrine Hydrochloride",Sale through pharmacies only in packs containing not more than 10 sachets per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription.,1,"Contains paracetamol too (pharmacy pack), so it carries both tags; the pseudoephedrine limit of 1 is the tighter and applies.",,
limit-pseudoephedrine,Nurofen Cold & Flu 24Pk,Yes,PA0979/033/001,Nurofen Cold & Flu Film-coated Tablets Ibuprofen 200mg Pseudophedrine ,"Ibuprofen, Pseudoephedrine Hydrochloride",Sale through pharmacies only in packs containing not more than 24 units per pack. Packs containing more than 720 mg pseudoephedrine are subject to medical prescription. Not more than one pack of pseudoephedrine containing medicinal products should be supplied in the course of any one retail transaction unless a valid prescription exists.,1,"Same product as the next row, listed twice on the website.",,
limit-pseudoephedrine,Nurofen Cold And Flu Tabs 24Pk,Yes,PA0979/033/001,Nurofen Cold & Flu Film-coated Tablets Ibuprofen 200mg Pseudophedrine ,"Ibuprofen, Pseudoephedrine Hydrochloride",Sale through pharmacies only in packs containing not more than 24 units per pack. Packs containing more than 720 mg pseudoephedrine are subject to medical prescription. Not more than one pack of pseudoephedrine containing medicinal products should be supplied in the course of any one retail transaction unless a valid prescription exists.,1,"Same product as the row above, listed twice on the website.",,
limit-pseudoephedrine,Nurofen Sinus & Pain 24Pk,Yes,PA0979/065/001,Nurofen Sinus and Pain Film-Coated Tablets Ibuprofen 200mg Pseudoephed,"Ibuprofen, Pseudoephedrine Hydrochloride",Sale through pharmacies only in packs containing not more than 24 units per pack. Packs containing more than 720 mg pseudoephedrine are subject to medical prescription. Not more than one pack of pseudoephedrine containing medicinal products should be supplied in the course of any one retail transaction unless a valid prescription exists.,1,,,
"limit-pseudoephedrine, limit-paracetamol-p",Sinutab N/D Tabs 15Pk,Yes,PA23490/020/001,Non-drowsy Sinutab Tablets Paracetamol 500mg Pseudoephedrine hydrochlo,"Pseudoephedrine Hydrochloride, Paracetamol",Sale through pharmacies only in packs containing not more than 24 units per pack. Packs containing more than 720mg pseudoephedrine are subject to medical prescription.,1,"Contains paracetamol too (pharmacy pack), so it carries both tags; the pseudoephedrine limit of 1 is the tighter and applies.",,
